country,store,category,rank,app_id,app_name,publisher_id,publisher_name,icon,screenshot,most_recent_release,release_count_in_past_year
BR,google_play,Books & Reference,1,app.hallow.android,Hallow: Prayer & Meditation,1903257,"Hallow, Inc.",https://play-lh.googleusercontent.com/VOeyo7c0lPpEWqRSTEkzbtfjTnnX58E2VKE8hLTuSXNDxKYWsSN8-GuRZ-qPU2ZMh7U,https://play-lh.googleusercontent.com/fJB-syknIV0e_YF4DQCp164UhYH1WiDxUiXZOSXlRUXocPC9HZ_9tZvvgwCtIh_zaRvV,2024-02-21T00:00:00,24
BR,google_play,Books & Reference,2,com.kjv.bible.now,KJV Bible Now: Audio+Verse,2787228,Bible Now Group,https://play-lh.googleusercontent.com/Yhg5o7ddSVYkKUKSc00RV-O7dGXjxG6p-3ehMTk7M0iF_VMsAX63FPgUBoaXmU36Yuo,https://play-lh.googleusercontent.com/m6YrvYiYDCMJNOluQTWk_lQjlr4lkeGt2KnqgF1wMLsJknz-HO-kRKKceqvdntRJ95jk,2024-02-20T00:00:00,17
BR,google_play,Books & Reference,3,com.offline.bible,Bible Offline-KJV Holy Bible,2002778,Bíblia Offline,https://play-lh.googleusercontent.com/2vbob1Knz2piGnjL1hgY1P4xdsO092dYPHGLCLUql2gf9b7OnQbtkM7wNN_u0LQqF3eU,https://play-lh.googleusercontent.com/nwCmUvknqwDnV2P9nobGakFBEEWbPP8iyBqR08UQ0wGzHYEmudQNDtz0LMUy2uNsbg0,2024-02-07T00:00:00,31
BR,google_play,Books & Reference,4,com.sirma.mobile.bible.android,YouVersion Bible App + Audio,720870,Life.Church,https://play-lh.googleusercontent.com/WS9mwjgQMTxX6WKLP7W1QcjQAjZKLp_h5ENE8MhucSiiN453_po6NW90wLL0c7lNaYw,https://play-lh.googleusercontent.com/ymSUTwqst713P1Q5oUEU0cU85c-xShMUSwjzaUTSVZDVB6Bqv7p_mrPIS2JW2R2Ti1Y,2024-02-16T00:00:00,18
BR,google_play,Books & Reference,5,gm.passion.app,Passion: Reading App,2005718,Unicorn Media Apps,https://play-lh.googleusercontent.com/9ac3ajB1hpJw-FtkOllSqNYSBRJ3OOCHXaKo9Wskk7kWvdvngfS9wLcyzeno5sbWvrD-,https://play-lh.googleusercontent.com/hnyaEtEITkDUkRRugcHhadZcW9o-jm1_AXXfJEJRdU-c-Y3uFtSB3a8TmUZq8xaIOvA,2024-02-07T00:00:00,21
BR,google_play,Business,1,com.nvt.cs,Minha Claro Móvel,1535988,Claro S/A,https://play-lh.googleusercontent.com/bgNS99GWrSJrooOYqmo4FGID7kfRMeH-BjonG9rBypsH0abm_S84ejFw2WcwfEFzjLI,https://play-lh.googleusercontent.com/2MrBislcKPOOycsguyGAhSQUTq8lQ6grlrLMuYVvUNtpN1aTdgWGNxVsk0a1jv6Hyg,2023-12-20T00:00:00,30
BR,google_play,Business,2,app.mobile.kiwify,Kiwify Mobile,2423190,Kiwify,https://play-lh.googleusercontent.com/VJOW3rillBsN_OOH-U7DHesvzjinqNNceRBeCFpzXa7rOahD5LUb4YAhV7QQvwzFYgs,https://play-lh.googleusercontent.com/-EJWVCZPZc2K3664EFFITr3rGkfYP5JDrrqwhD0JTJDAx722qdEP9Dn801C_O8q4jA,2024-02-13T00:00:00,43
BR,google_play,Business,3,com.app99.driver,99 Motorista: Carro ou Moto,1574904,99 Tecnologia LTDA,https://play-lh.googleusercontent.com/C-LnH7MMPhaELGP_XD3A6rKGu_yglQRrDm0zNJOAs_odMvACu_Nj1MXY-uYmujIJCew,https://play-lh.googleusercontent.com/tOMfsBpvRKBxd6xbjtUBDv-3dW4SRUUBxBmCCc-06QyTm-4d2UnUgfxnQ5fF6pyEl1x_,2024-01-30T00:00:00,24
BR,google_play,Business,4,com.ubercab.driver,Uber - Driver: Drive & Deliver,28994,"Uber Technologies, Inc.",https://play-lh.googleusercontent.com/bXVEomXNViejYGr4Je5Ed4J08q8G00FUPYCdgoiPNF-2XAqWMYAGCBrK-n0OMYI3OALZ,https://play-lh.googleusercontent.com/GhtkMOslg2miun9QZSaBb1FznypF7GoTYu94AfOfmBnW8O3xnYVp765QUZVlhPQrVJI,2024-02-19T00:00:00,56
BR,google_play,Business,5,app.cryptomania.com,Cryptomania —Trading Simulator,2239551,Edusystems OU,https://play-lh.googleusercontent.com/17AYYfvUFWtYugP3CDNaJ2zUg16ehWMH-Qi_Ci887EDx6P66Y4GkQqyEspMM1IYpfwLN,https://play-lh.googleusercontent.com/VzUBW0OiVWyI7Xj3pFjKcBLB8C2x638dedy3ap86hhOoLFV85McTmVa0YLk8YWGK9gg,2024-02-13T00:00:00,8
BR,google_play,Comics,1,com.overseapc.incomic,Permen Comic for Brasil,2947581,HELLOAPPTE,https://play-lh.googleusercontent.com/2Ex4u5i-pfkgs-I5M-4ZthzkcWsONMAoxDyEKEJ0pMdm9PH7cZkkry0uD8J88EGlzw,https://play-lh.googleusercontent.com/mAIp4ysu1b-pPXRciUq2xU83HgwxwpLb08uOz-zA56WQC8DSWZvhL1zds_biyRlYlw,2024-02-04T00:00:00,2
BR,google_play,Comics,2,app.vozesclonadas,Cloned Voices,2819144,unknowndeveloperscode,https://play-lh.googleusercontent.com/un3EO9juiAN1PSLT8CK4i378gVYtXh4S-URybFSjiXtFCqqWhPx0JJsibskXXZUzfnYJ,https://play-lh.googleusercontent.com/eVzodMKo-E6erg1L5URW9vFvbuia_ZF0e9ZN4JmpTGdHlzgCd0R2e4Ul2W46BpWfWHkw,2023-09-28T00:00:00,2
