country,store,category,rank,app_id,app_name,publisher_id,publisher_name,icon,screenshot,most_recent_release,release_count_in_past_year
CA,google_play,Books & Reference,1,com.audible.application,Audible: Audio Entertainment,2921053,"Audible, Inc.",https://play-lh.googleusercontent.com/pwzZK-7oQexraeU0mOrQgFIck-QSS89rH0eWjehctp8XskRSpixPNVlA0YYlRXHbA2Iz,https://play-lh.googleusercontent.com/URitgigypiky_VPRhm3kEcc7VLiF27uMX3oZmggjDvj9v5Qcg2m8BUkl5ZF3NBAq8g,2024-02-13T00:00:00,57
CA,google_play,Business,1,com.microsoft.teams,Microsoft Teams,190,Microsoft Corporation,https://play-lh.googleusercontent.com/jKU64njy8urP89V1O63eJxMtvWjDGETPlHVIhDv9WZAYzsSxRWyWZkUlBJZj_HbkHA,https://play-lh.googleusercontent.com/yKNVCpJw99oildKmC7fv4zsT_YuJubEdQYwogU0TTtILpwIsf9L_FSN0JsY-FsMdCm4,2024-02-02T00:00:00,29
CA,google_play,Comics,1,com.naver.linewebtoon,WEBTOON,2395380,NAVER WEBTOON,https://play-lh.googleusercontent.com/86I0wCNw3f-A2F4f-w1jWZtEOCFFHxhqngWCzEWJFTOZwwlnbIwRH76LUlNF8LxGF3rJ,https://play-lh.googleusercontent.com/0liDmAid2Da9OW_9j-rw3wUOBTZkiwgE86NoWMrmBSz6qDcffFESvbj5TyrwMABCluBG,2024-01-25T00:00:00,31
CA,google_play,Communication,1,com.whatsapp,WhatsApp Messenger,2483148,WhatsApp LLC,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN,https://play-lh.googleusercontent.com/tNuMAclO_TrRn5RbiSo2iU2ySljFaHjCIWoMUSoemUcl4FjTyVO0PpJZL_zTrYf7v_4,2024-02-14T00:00:00,49
CA,google_play,Education,1,com.duolingo,Duolingo: Language Lessons,12815,Duolingo,https://play-lh.googleusercontent.com/hSyebBlYwtE2aMjzSIHasUO9cQv9HgNAw9owy6ADO0szOKYO3rDk60r7jcyXu82Fbq1M,https://play-lh.googleusercontent.com/Yhl1PeVsRsAmnGn4T8KLQ-UOgYIuu_kjnJRp1x9KXynNUtNDpHpDTEFe5pIzLT06WFs,2024-02-14T00:00:00,72
CA,google_play,Entertainment,1,com.amazon.avod.thirdpartyclient,Amazon Prime Video,371,Amazon Mobile LLC,https://play-lh.googleusercontent.com/Y7drWZZo_F2GBE1RhjR1irOkE3yrtPorHS1U9YkLKAu1DnTjQ8gNbcRmrBtkd3tnHQ,https://play-lh.googleusercontent.com/MfR0T2KHMChupCwGzr5rBjh6nJWQ-Qz9r144PiU-FiXhyGXGWNj3knEkWF7Oybw-PDQ,2024-02-12T00:00:00,40
CA,google_play,Finance,1,com.google.android.apps.walletnfcrel,Google Wallet,1428138,Google LLC,https://play-lh.googleusercontent.com/DHBlQKvUNbopIS-VjQb3fUKQ_QH0Em-Q66AwG6LwD1Sach3lUvEWDb6hh8xNvKGmctU,https://play-lh.googleusercontent.com/xWmsRbqQJUPLkVzjQSKtMHs_OO3uzaucj-nofyu6z3wH5Yk8qkOPvWngpfRQUaE2WiQ,2024-02-13T00:00:00,48
CA,google_play,Health & Fitness,1,health.sleep.sounds.tracker.alarm.calm,ShutEye®: Sleep & Relax,2950063,ENERJOY PTE. LTD.,https://play-lh.googleusercontent.com/sx7LQO3-1xJFDBnck8F37xZxdAKxv5aUFElDVolkSjkSu53VxlWJ4gwGpSkKa2fLOCc,https://play-lh.googleusercontent.com/Yk1fQfYzAu8r_C_GYAkQks8euPj56F8SZctisJKqQWCf4xWFAdPLCeVuLzr4Q9yFoJ8,2024-02-04T00:00:00,18
CA,google_play,Libraries & Demo,1,com.google.samples.apps.cardboarddemo,Cardboard,1428138,Google LLC,https://play-lh.googleusercontent.com/OF-_SP5tzFPxK7NBoX7Y-Wsz32Woy_JliL4kZSTdkNz-PyAiHV1znVwjkQgn5vGahA,https://play-lh.googleusercontent.com/iVAAhuLFF3M7CN9SusGEJyAZJiVt_gSrfBVhcqamiroF63I1YAmjCw-H4r4Dv_wOI3p3,2023-05-01T00:00:00,2
CA,google_play,Lifestyle,1,com.pinterest,Pinterest,1031071,Pinterest,https://play-lh.googleusercontent.com/dVsv8Hc4TOUeLFAahxR8KANg22W9dj2jBsTW1VHv3CV-5NCZjP9D9i2j5IpfVx2NTB8,https://play-lh.googleusercontent.com/hJ7PMMkjIzJn_q2tL_Uzfx7WgFNOe2Hn43PTNNUMjAYsz0FOetOouQkgKOXHnYx_eyPn,2024-02-12T00:00:00,77
