country,store,category,rank,app_id,app_name,publisher_id,publisher_name,icon,screenshot,most_recent_release,release_count_in_past_year
IL,google_play,Books & Reference,1,il.co.meorot.vetenapp,ותן חלקנו,2966123,Meorot Hadaf Hayomi,https://play-lh.googleusercontent.com/2QXISbT-nVpUgvndks8w1M4Ox2xzzGUjaT9UJ1OAHp9Wis2mACLAyP-SRUGnAdXvqTM,https://play-lh.googleusercontent.com/mLoIlsa9d_r8es91AKqbwXQwpIyrV78soPp_e7KsZmrC6qylNIqwCan-bfbtOJfOidWv,2024-01-22T00:00:00,11
IL,google_play,Books & Reference,2,org.quickquran.arabic,MuslimOn: دعاء القرآن الآلي,2296664,MuslimOn,https://play-lh.googleusercontent.com/qxbJfcxkhaC1dTVBJM0YMKIhEdx4y5-_F5clyJie3hPlzd4cUcq5bmqzEiRABH6l_eir,https://play-lh.googleusercontent.com/wllNyImJipEpmnyBq_Tae8Vz0ATmi99Iakr-FYUKym6A6vfCSYO4GD5gn_Qu5lfAc4w,2024-02-05T00:00:00,21
IL,google_play,Books & Reference,3,com.chp.mobile,CHP - השוואת מחירים בסופר,871346,CHP Group Israel,https://play-lh.googleusercontent.com/NWUTqLGsHEkrMKSpQIu-g2MC2G9WzM_hMpakwNsndEZIu31t7KIIM7KcDx6M6djJulk,https://play-lh.googleusercontent.com/McbYoa7GZMgWGUEwXtRtpjKTKPumb5DrQOUTcRtCL868JiRdY1yMT7q4-MEhScmuAg,2023-12-09T00:00:00,4
IL,google_play,Books & Reference,4,com.fortnitebattleroyale.season8wallpaper,BATTLE ROYALE CHAPTER 5 Mobile,2634018,BR WALLPAPERS,https://play-lh.googleusercontent.com/DxbCk9U9Bi68E_Oad5MNhLPFJzUxIgT0CUyBcbFCZmC8-rYxdcJt2XhH__ymD2g7My4,https://play-lh.googleusercontent.com/fg4fQkGWI6W9WQbfx67VVQZTZH91bJimx07NSkABFNpUk-Zndsk6HVTS5lHZPMBLaQTg,2023-08-25T00:00:00,2
IL,google_play,Books & Reference,5,com.softissimo.reverso.context,Reverso Translate and Learn,2221701,Reverso Technologies Inc.,https://play-lh.googleusercontent.com/C9WJLKl9nLcrhV158Qd6-3fWauWUc7Cdr6E9CopKdjNaWpdERrdaIqjhNvOXr9InlyA,https://play-lh.googleusercontent.com/WHsjQGJZfNJAXX1ehVHC2KOeeJin8tVMXd7WrvBxTgX80rr-n0Uw6GM17XdTL3j0Y10,2024-01-30T00:00:00,22
IL,google_play,Books & Reference,6,com.yit.evritViewer,עברית ספרים,1367415,yit,https://play-lh.googleusercontent.com/q709tdrC8oaxb3p0Kx1q8Zd1v8aYM-fQvUWZpdckUf_eCdpyV6GAvoWbsBtRfvu6Bw,https://play-lh.googleusercontent.com/-BRA6BUsmYIVTG5upQcSwPEHhEvGYAGWhXoX8YSsK33DRCAehgTj64bXygA4t8WOhg,2023-08-28T00:00:00,7
IL,google_play,Books & Reference,7,com.simppro.quran.offline,القرآن الكريم كامل بدون انترنت,24362,simppro,https://play-lh.googleusercontent.com/b2Gr1uURyigWJCKfKhB-ocTnKKd6T9lOod1lgP149cJAfD-oTNvGOaem6wCf9eVQ9bSB,https://play-lh.googleusercontent.com/--h8_-r64g4428lFNrSlwLs2ZqRZgCDAcRNccuyB-JQrfhJlgrP3hS2d0a0RqXHLqg,2023-06-01T00:00:00,2
IL,google_play,Books & Reference,8,tfilon.tfilon,Tfilon - A smart Siddur,20564,אורי הולנדר,https://play-lh.googleusercontent.com/3dfbEotj8XN1EsiUhHDykNl_32gugpcxbwQUNwWP8DYiAEPT4dfb7QcLjLzHC6ZAhqg,https://play-lh.googleusercontent.com/A7JnzKVa2WWO7cYQFO2Uamf1i42a1n5bhtr3IQrNJxQ-6hKet8UVbBJNvWb7qf8uNA,2023-10-10T00:00:00,2
IL,google_play,Books & Reference,9,com.appgame.free.books.read.free.books,Books - Read and Download,2384086,App Game Development Solutions,https://play-lh.googleusercontent.com/ZbRdR_HgafCFT-n9UrXVcbvkhdmpvwZ7CwtIXDCF6Rk7m9vqz6UnZ2N8Rpr7Xp7VXPk,https://play-lh.googleusercontent.com/dOEKUop_Gfi-GdtNgrKCCd9Vpy4pew6fKumGlKmgifOcu5E56f827gNVh3ZcGo0BpQ,2024-01-21T00:00:00,2
IL,google_play,Books & Reference,10,wp.wattpad,Wattpad - Read & Write Stories,14289,Wattpad.com,https://play-lh.googleusercontent.com/hXzUJqlB3e2-o--OEdziNHQxSql98xxQXeFI2uS-kZx2RVSBHtf3X-IS7x-39ovx,https://play-lh.googleusercontent.com/u1QiQMZ-s8OJgP8kSO8vJckJQWsjkFyORjxQUDc9GAjXpQdHdI3EDFt_QeJ8NktgVkk,2024-02-09T00:00:00,51
