country,store,category,rank,app_id,app_name,publisher_id,publisher_name,icon,screenshot,most_recent_release,release_count_in_past_year
MX,google_play,Books & Reference,1,com.offline.bible,Bible Offline-KJV Holy Bible,2002778,Bíblia Offline,https://play-lh.googleusercontent.com/2vbob1Knz2piGnjL1hgY1P4xdsO092dYPHGLCLUql2gf9b7OnQbtkM7wNN_u0LQqF3eU,https://play-lh.googleusercontent.com/nwCmUvknqwDnV2P9nobGakFBEEWbPP8iyBqR08UQ0wGzHYEmudQNDtz0LMUy2uNsbg0,2024-02-07T00:00:00,31
MX,google_play,Business,1,us.zoom.videomeetings,Zoom - One Platform to Connect,17479,zoom.us,https://play-lh.googleusercontent.com/yZsmiNjmji3ZoOuLthoVvptLB9cZ0vCmitcky4OUXNcEFV3IEQkrBD2uu5kuWRF5_ERA,https://play-lh.googleusercontent.com/kSI2FyhuPY3efl8htMUGG4goWJ865RCY7E-lvI0tqRsGwGMqO5gN2r2jXMxSIwtx4t0,2024-02-01T00:00:00,25
MX,google_play,Comics,1,com.naver.linewebtoon,WEBTOON,2395380,NAVER WEBTOON,https://play-lh.googleusercontent.com/86I0wCNw3f-A2F4f-w1jWZtEOCFFHxhqngWCzEWJFTOZwwlnbIwRH76LUlNF8LxGF3rJ,https://play-lh.googleusercontent.com/0liDmAid2Da9OW_9j-rw3wUOBTZkiwgE86NoWMrmBSz6qDcffFESvbj5TyrwMABCluBG,2024-01-25T00:00:00,31
MX,google_play,Communication,1,com.whatsapp,WhatsApp Messenger,2483148,WhatsApp LLC,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN,https://play-lh.googleusercontent.com/tNuMAclO_TrRn5RbiSo2iU2ySljFaHjCIWoMUSoemUcl4FjTyVO0PpJZL_zTrYf7v_4,2024-02-14T00:00:00,49
MX,google_play,Education,1,com.duolingo,Duolingo: Language Lessons,12815,Duolingo,https://play-lh.googleusercontent.com/hSyebBlYwtE2aMjzSIHasUO9cQv9HgNAw9owy6ADO0szOKYO3rDk60r7jcyXu82Fbq1M,https://play-lh.googleusercontent.com/Yhl1PeVsRsAmnGn4T8KLQ-UOgYIuu_kjnJRp1x9KXynNUtNDpHpDTEFe5pIzLT06WFs,2024-02-14T00:00:00,72
MX,google_play,Entertainment,1,com.univision.prendetv,"ViX: TV, Deportes y Noticias",2731303,"TelevisaUnivision Interactive, Inc.",https://play-lh.googleusercontent.com/s2G05IFOkSB2E6w_lBAgVOJT8rYVSIX7cT5dRR7HjWhUM0smh606nQ3uqWM8sLPk7BI,https://play-lh.googleusercontent.com/jnVMgLqU45Sh6NFk9t8kNt-eBQ_mmruwJgq0lqv5OksA5GZSynk5aF_eZhp8oVAK_bo,2024-02-05T00:00:00,31
MX,google_play,Finance,1,gob.bancodelbienestar.bcobienapp,Banco del Bienestar Móvil,2687599,Banco del Bienestar,https://play-lh.googleusercontent.com/RbaZPLzfx7PAAGqBFaSaoMCi8hdz6dFCEFcaPiBzTHbDqh7hJjs903NjPZfKgpNYqfY,https://play-lh.googleusercontent.com/lTrLtPtDbNk_i-f0zlkEMhAXg30hBrtaVi5ksjlMDP2tlmNe-RqgXcrPyfsy7qFuvR4,2023-02-09T00:00:00,0
MX,google_play,Health & Fitness,1,st.android.imsspublico,IMSS Digital,652037,IMSS,https://play-lh.googleusercontent.com/66Y7g6Sx50lKhw11kbzr7tqI1W_TCfnQRTnLGjIXn4FK1pjbTshKBw5KemayrWmbWYI,https://play-lh.googleusercontent.com/gkPxrzWeJ_RXB5zqi8BumVFhRnznMrmAdJC01Qb0DbGUzml6DD5vzfCIWomUH5ESN8p0,2023-12-13T00:00:00,6
MX,google_play,Libraries & Demo,1,melon.playground.mod.addons,Addon Mod for Melon Playground,1850189,Phuket INC,https://play-lh.googleusercontent.com/zPiAB_4EbkofAQTDtBjccJYCGz0gJrnBBYcpxVfiVuKgN2aPpD7bbNtV4jM1ERiNmY0,https://play-lh.googleusercontent.com/1yNvkJHk-RoLe2aL_ERrfCEdj_EMvftdb2jLZdmXIM45UIav4saQFv4M6MhYUQH-P0_C,2024-01-25T00:00:00,7
MX,google_play,Lifestyle,1,com.pinterest,Pinterest,1031071,Pinterest,https://play-lh.googleusercontent.com/dVsv8Hc4TOUeLFAahxR8KANg22W9dj2jBsTW1VHv3CV-5NCZjP9D9i2j5IpfVx2NTB8,https://play-lh.googleusercontent.com/hJ7PMMkjIzJn_q2tL_Uzfx7WgFNOe2Hn43PTNNUMjAYsz0FOetOouQkgKOXHnYx_eyPn,2024-02-12T00:00:00,77
